month,day,atmosphere,temperature,humidity,precipitation,snow_falling,snow_depth
11,1,1010.1,13.3,84,15.5,0,0
11,2,1012.5,11.3,69,2,0,0
11,3,1009.2,14.4,79,1,0,0
11,4,1020.1,8.2,65,0,0,0
11,5,1026.4,7.7,61,0,0,0
11,6,1009.2,14.2,82,5,0,0
11,7,999.5,13.2,83,8,0,0
11,8,1017.9,8.3,79,5.5,0,0
11,9,1019.7,10.6,73,0,0,0
11,10,1008.4,11.2,78,7.5,0,0
11,11,1013.4,2.5,58,1,0,0
11,12,1013.5,2.2,67,0,0,0
11,13,1007.1,3.3,61,0,0,0
11,14,1013.5,3.4,73,4,0,0
11,15,1022.2,4.7,64,0,0,0
11,16,1023.4,6.6,69,0,0,0
11,17,1004,10.5,86,47.5,0,0
11,18,988.4,9.7,57,0,0,0
11,19,995.9,8.7,62,2,0,0
11,20,1002.8,5.4,65,5,0,0
11,21,1012.1,8.5,61,0,0,0
11,22,1011.1,9.9,71,0,0,0
11,23,1001.3,13,75,0.5,0,0
11,24,1002.5,3.5,70,14.5,14,14
11,25,1015.7,-3.1,57,0,0,13
11,26,1017.6,-1.1,82,1,3,9
11,27,1011.5,2.1,78,0,0,8
11,28,997.5,5.5,79,4.5,1,2
11,29,1006,-2.1,74,2,3,4
11,30,1008.6,-4.3,65,0,0,3
12,1,1010.2,-3.2,63,0,0,2
12,2,1013.9,-0.9,66,0,0,2
12,3,1014.9,2.5,66,0,0,1
12,4,1016.5,2.9,65,0,0,0
12,5,1013.4,5.6,77,0,0,0
12,6,1008.9,5.2,82,0,0,0
12,7,995.3,7.7,79,3,0,0
12,8,1009.6,1.6,62,0.5,2,2
12,9,1009.7,7.7,83,4.5,0,0
12,10,1017.6,0.3,57,0,0,0
12,11,1022,-1.9,64,0,1,1
12,12,1014.1,-0.7,78,7,6,6
12,13,1018.2,-1.9,58,0.5,1,7
12,14,1022,-1.9,54,0,0,5
12,15,1014.5,-1,63,0,2,5
12,16,1001.3,-0.8,85,3.5,5,10
12,17,998.6,-1.4,67,3,2,8
12,18,1015,-6.2,55,0,0,7
12,19,1018.9,-5,66,0,0,7
12,20,1009.7,-4.1,61,0,0,7
12,21,1006.1,-3.6,61,0,3,9
12,22,1011.6,-3.3,56,0,0,9
12,23,1017.7,-5.7,49,0,0,8
12,24,1022.6,-3.5,56,0,0,8
12,25,1017.5,-2.2,63,0,0,8
12,26,1012.7,-0.9,86,17.5,27,33
12,27,1018.2,-2.4,55,0.5,0,32
12,28,1019.8,-1.8,66,0.5,0,25
12,29,1016.6,-0.1,61,0,0,23
12,30,1016.1,0.3,73,0,0,21
12,31,1009.2,-1.9,87,6.5,7,26
1,1,1018.8,-6,64,0.5,1,26
1,2,1012,-0.2,79,2.5,1,25
1,3,1012.3,-0.4,75,0.5,1,22
1,4,1013.7,-1.2,75,0,0,22
1,5,1008.8,1.3,80,3,0,20
1,6,1005.7,0.6,73,0.5,2,20
1,7,1000.8,-0.9,86,13,22,38
1,8,1009.4,-3.3,80,8,12,48
1,9,1007.9,-2.2,79,2,1,43
1,10,1009.3,-5.2,56,0,0,40
1,11,1009.1,-2.9,70,0,0,36
1,12,999.7,0.1,80,8.5,12,43
1,13,1009,-3,81,12,15,52
1,14,1008.2,-1.9,83,8.5,12,58
1,15,1001.5,-5.3,73,10,8,59
1,16,1011.9,-5.7,82,24.5,23,80
1,17,1014.6,-1.2,81,0,0,73
1,18,1015.7,-0.5,81,1.5,1,64
1,19,1025.6,-3.7,63,3,3,62
1,20,1030.1,-6.2,76,5,14,71
1,21,1027.2,-6.6,78,5,4,66
1,22,1015.2,-1.7,85,2,0,65
1,23,996.2,0.8,74,9,6,67
1,24,990.4,-1.7,79,9.5,9,67
1,25,995,-0.6,86,12,5,70
1,26,1005.6,0.7,89,7.5,5,73
1,27,1012.8,0.8,80,0.5,0,72
1,28,1017.7,1,80,1,1,69
1,29,1023,1,86,4,3,69
1,30,1023.6,-0.2,65,0,0,65
1,31,1017,-1.6,74,0,0,63
2,1,1010.3,-4.8,66,2.5,5,66
2,2,1015.9,-5.2,65,6,9,71
2,3,1020.9,-5.8,75,6,10,78
2,4,1017.8,-2.4,78,4,6,75
2,5,1021.7,-4.6,62,0.5,2,77
2,6,1018.3,-5.4,60,0,0,72
2,7,1011.6,-2.9,73,0,0,69
2,8,1010.1,-1.6,67,0,0,68
2,9,1015.5,-1.6,66,1,3,67
2,10,1013.8,-1.3,73,0.5,1,66
2,11,1013.4,-2.1,76,17.5,28,94
2,12,1017.6,0.1,58,0,0,85
2,13,1013.6,5.4,64,0,0,80
2,14,1011.6,5.2,71,0,0,71
2,15,1010,1.2,79,2.5,0,63
2,16,1014.2,-2.5,78,10,11,72
2,17,1023.1,-1.4,66,0,0,70
2,18,1021.1,2.7,73,0,0,67
2,19,1009.1,7.6,81,1,0,61
2,20,1014.5,-1,73,14.5,2,53
2,21,1020.9,-3.9,52,0,0,52
2,22,1019,-4.7,79,19.5,36,87
2,23,1021.9,-5.7,84,12.5,15,93
2,24,1024.2,-4.9,83,5,10,94
2,25,1023.6,-3.3,67,1.5,2,89
2,26,1019.2,-2.9,89,7.5,5,81
2,27,1019.8,-1.4,71,4,2,82
2,28,1023.4,-3.9,60,0,0,78
2,29,1021.5,-3.2,76,1,4,79
3,1,1002.3,-0.4,77,2,2,75
3,2,999.4,-6,75,10.5,11,86
3,3,1006.5,-3.4,65,0.5,0,84
3,4,1010.5,-3.7,66,0,0,80
3,5,1015.6,-2,61,0,0,78
3,6,1012.4,-2.4,69,0,2,77
3,7,1012.3,-2.7,77,5,10,84
3,8,1009.5,-2.8,57,0,0,78
3,9,1009.4,-2,69,1.5,4,78
3,10,1016.5,-1.7,78,13,17,95
3,11,1014.2,2.1,67,0,0,86
3,12,1007.9,2.6,77,0,0,78
3,13,1005.3,-0.5,61,0.5,1,74
3,14,1006.5,0.9,73,0,2,74
3,15,1006.6,1.8,82,8,4,73
3,16,1014,2.7,65,1,1,73
3,17,1000.4,2,80,4.5,0,69
3,18,998.9,1.4,76,3.5,0,66
3,19,1009.3,-0.9,75,11,14,76
3,20,1005.4,-0.5,69,0,1,73
3,21,1006.9,0,64,0,0,68
3,22,1014.5,1.1,66,0,0,67
3,23,1017.1,2.3,58,0,0,64
3,24,1014.9,4.7,61,0,0,60
3,25,1013.5,3.6,50,0,0,55
3,26,1014.4,2.4,56,0,0,52
3,27,1019,2.8,60,0,0,49
3,28,1018.4,4,53,0,0,45
3,29,999.5,8.2,82,3,0,41
3,30,999.8,6.9,62,1.5,0,32
3,31,1002.4,4.8,57,2,0,26
4,1,1003,4.9,54,0,0,22
4,2,1008.8,4.6,54,0,1,18
4,3,1010.9,5.7,56,0,0,13
4,4,1007.6,6,66,0,0,9
4,5,1014,7.4,46,0,0,5
4,6,1016.4,9.5,47,0,0,0
4,7,1013.8,12.1,67,0,0,0
4,8,1013.8,13.5,63,0,0,0
4,9,1012.5,4.4,61,0,0,0
4,10,1019.5,7.8,36,0,0,0
11,1,1017.7,10.2,89,5,0,0
11,2,1012.4,11.1,83,0,0,0
11,3,1015.7,8.9,84,11.5,0,0
11,4,1009.7,10.2,76,6.5,0,0
11,5,1015.3,7,50,0,0,0
11,6,1013.6,4.7,73,7.5,1,1
11,7,1017.6,2.2,85,46.5,9,7
11,8,1022.9,4.3,73,3,0,6
11,9,1024,6,68,0,0,4
11,10,1019.4,8.6,76,0.5,0,1
11,11,1012.8,9.9,67,0,0,0
11,12,1010.4,7,71,5,0,0
11,13,1019.1,5.9,56,0,0,0
11,14,1021.2,6.1,62,0,0,0
11,15,1015.8,9.4,74,3,0,0
11,16,1017.8,9.6,74,0,0,0
11,17,1007.8,9.9,79,5,0,0
11,18,1014.5,0.5,58,1,1,1
11,19,1021.6,0.1,62,5,6,7
11,20,1016.8,5.8,64,0.5,0,2
11,21,1012.4,5.2,79,0,0,0
11,22,1008.5,4.7,73,0,0,0
11,23,1014.5,3.5,73,9,6,6
11,24,1020,1.8,72,10,6,12
11,25,1024.9,3.7,66,0,0,9
11,26,1019,5,72,2,0,4
11,27,1000.7,10.5,80,7,0,0
11,28,997.9,5.4,64,0,0,0
11,29,992.5,1.4,82,3,4,4
11,30,992.5,0.5,80,3,2,5
12,1,1006,2.4,65,0,2,4
12,2,1011.9,3.5,72,0,0,0
12,3,1010.3,4.1,68,2,0,0
12,4,1008.5,-0.2,74,1,0,0
12,5,1002.1,-0.5,78,2.5,1,1
12,6,1000.9,-1.7,70,0.5,1,1
12,7,1003.5,-2.5,67,1,2,3
12,8,1004.2,-1.6,67,5.5,9,9
12,9,1008.3,0,63,1.5,3,9
12,10,1009.7,1.3,54,0,0,7
12,11,1005.9,-1.5,71,3,6,11
12,12,1009.3,-3.6,71,6.5,9,19
12,13,1007.3,-2.8,67,0.5,0,14
12,14,1005.5,-3.2,62,0.5,0,11
12,15,1000.5,-2.6,79,2,4,13
12,16,1006.8,-4.7,71,2,5,17
12,17,1011.5,-4.6,68,0.5,0,17
12,18,1012.3,-3.3,67,2.5,4,18
12,19,1012.3,-0.6,64,0.5,0,16
12,20,1013.2,-3.3,66,0,0,14
12,21,1008.1,-5.2,70,0,0,14
12,22,1000.3,-3.8,74,0.5,3,16
12,23,1003.5,-3.4,74,4,3,19
12,24,1010.1,-4.1,82,6.5,12,29
12,25,1016.9,-0.2,64,0,0,26
12,26,1001.9,0.2,79,4.5,5,22
12,27,999.1,-5,60,1,0,22
12,28,1002.4,-3.4,54,0,0,19
12,29,1008.1,-3.4,66,0,2,20
12,30,1013.4,-3.2,63,0,0,19
12,31,1002.3,-3.5,87,6,11,29
1,1,1008.1,-2.4,77,3.5,6,33
1,2,1010.7,-3.5,59,0,0,29
1,3,1012.6,-4.7,68,3.5,4,30
1,4,1013,-4.2,61,0,0,28
1,5,1017.2,-3.6,59,0.5,0,27
1,6,1010.5,0.2,93,4.5,5,31
1,7,998.3,0.4,84,2.5,2,27
1,8,997.8,-1.9,66,2.5,2,29
1,9,998.9,-2.6,64,0.5,0,27
1,10,1005.3,-1.6,70,0,0,26
1,11,1017.5,-1.6,74,1,2,27
1,12,1018,-1.3,69,0,0,26
1,13,1012.3,-1.1,80,0.5,0,26
1,14,1008.1,-0.1,65,0.5,1,26
1,15,1006.5,-4.3,67,0,1,26
1,16,1009.4,-4.3,57,0,0,26
1,17,1010.9,-4.8,73,5.5,10,34
1,18,1018.2,-3.9,59,0,0,32
1,19,1013.3,-1.6,77,0.5,0,30
1,20,1009.5,2.6,82,0.5,0,29
1,21,1016.8,-0.4,67,0,0,26
1,22,1018.5,1.3,73,0,0,25
1,23,1018.1,2,83,0,0,24
1,24,1016.5,1.5,91,2.5,4,26
1,25,1021.1,2.3,71,0.5,0,23
1,26,1021.2,0.3,65,0,0,22
1,27,1012,-0.3,65,0,0,22
1,28,1002.9,0.3,68,0,0,22
1,29,997.5,-0.2,86,11.5,14,35
1,30,1002.7,-0.4,83,18.5,19,49
1,31,1010.5,-0.7,84,9.5,10,56
2,1,1014.4,-1.6,80,1.5,1,56
2,2,1014.8,-2.4,92,8.5,14,64
2,3,1007,-3.4,81,1.5,2,61
2,4,986.4,0.8,75,11.5,8,66
2,5,981.3,-0.6,68,0,0,56
2,6,991.5,-0.1,60,1.5,2,56
2,7,995.3,-2.3,68,0.5,0,54
2,8,1000.1,-2.2,73,4,4,55
2,9,1005.5,-1.5,77,11.5,12,66
2,10,1007.5,-1.8,54,0,0,64
2,11,1011.9,-2.4,68,14.5,15,73
2,12,1005.2,0.4,80,5.5,1,71
2,13,997.1,-1.9,76,11,10,73
2,14,1002.7,-1.6,67,1.5,2,68
2,15,1009.9,-0.3,58,1,0,64
2,16,1005,0.9,82,0.5,0,60
2,17,997.6,0.8,79,0.5,1,56
2,18,1001.6,-2.9,73,4.5,7,62
2,19,1005.7,-1.8,89,17,16,75
2,20,1012.6,-2,75,2,2,75
2,21,1014.8,-2.3,80,8.5,11,82
2,22,1014,-2.7,73,3.5,7,82
2,23,1013.4,-2.5,78,7,9,90
2,24,1012.2,-1.6,64,0,0,81
2,25,1011.9,2.6,59,0,0,76
2,26,1003.3,1,66,0.5,2,72
2,27,1012,0.2,58,0,0,69
2,28,1009.2,5.9,56,0,0,67
3,1,1011.1,4.7,59,0,0,62
3,2,1010.6,0.4,64,0,2,59
3,3,1017.4,-4.2,63,2,2,60
3,4,1025,-2.7,60,1,3,62
3,5,1021.6,-1.5,77,2,5,64
3,6,1012.1,0.3,86,7.5,12,73
3,7,1015.2,-0.6,80,8,10,74
3,8,1022.9,-1.4,68,2,3,77
3,9,1022.2,1,75,4,2,67
3,10,1024.5,2.2,68,0,0,64
3,11,1016.3,5.2,61,0,0,60
3,12,1012.7,6.5,68,0,0,55
3,13,1002.8,6.9,64,0.5,0,49
3,14,1010.6,1.9,81,16.5,6,48
3,15,1020.3,1.2,74,4.5,2,50
3,16,1014.7,0.5,67,5.5,4,50
3,17,999.5,-0.8,83,16.5,14,63
3,18,1010.5,-1.2,67,0.5,0,63
3,19,1011,-1,76,0.5,2,58
3,20,1007.9,2.3,65,1,0,56
3,21,998.2,6,74,1,0,50
3,22,992.1,6.5,61,4.5,0,45
3,23,1003.4,3.3,64,1,1,40
3,24,1002.8,4.4,66,0,0,40
3,25,996.1,7.5,72,0.5,0,29
3,26,997.5,4.8,80,6,0,22
3,27,1003.9,3.1,74,1,0,19
3,28,997.3,3.8,89,0.5,0,17
3,29,1010,2.7,54,1,3,18
3,30,1013.6,0.5,69,7,3,16
3,31,1022.3,0.4,65,0,1,17
4,1,1027.6,4,66,0.5,0,14
4,2,1024.3,5,71,1,0,5
4,3,1012.7,3.8,86,4,0,2
4,4,1011.3,3.7,78,3,0,0
4,5,1013.9,6.7,60,0,0,0
4,6,1012.5,7.8,69,0.5,0,0
4,7,1007.9,9.7,76,0,0,0
4,8,1006.8,7.4,84,0,0,0
4,9,1004.8,8.8,71,0,0,0
4,10,1004.9,10.6,63,0,0,0
4,11,1008,10.7,61,0,0,0
4,12,1013.3,12,57,0,0,0
4,13,1010,11.9,66,0,0,0
4,14,1002.7,9.1,81,24,0,0
4,15,991.4,7.7,92,2,0,0
4,16,988.9,7.6,87,20.5,0,0
4,17,1004,10,62,0.5,0,0
4,18,1007.7,10.4,61,9,0,0
4,19,1006.2,11,73,2,0,0
4,20,1004.9,9.6,79,3.5,0,0
4,21,1013.2,7.1,81,0.5,0,0
4,22,1012.1,8.5,61,0,0,0
4,23,1004.2,9.5,80,4,0,0